mol_name,smiles,bond_idx,elem1,elem2,bond_order,hybridization_1,hybridization_2,is_in_ring,ring_size,mmff_length,dft_length
pyrrole,c1cc[nH]c1,1,C,C,1.5,SP2,SP2,1,5,1.3770808783252346,1.3782459286451747
pyrrole,c1cc[nH]c1,2,C,N,1.5,SP2,SP2,1,5,1.3705656122703502,1.3754484177132924
pyrrole,c1cc[nH]c1,3,C,N,1.5,SP2,SP2,1,5,1.3705653535169346,1.3754484177132924
pyrrole,c1cc[nH]c1,4,C,C,1.5,SP2,SP2,1,5,1.3770801622033482,1.3782459286509792
pyrrole,c1cc[nH]c1,5,C,H,1.0,SP2,OTHER,0,0,1.0823038569057213,1.0817228518853617
pyrrole,c1cc[nH]c1,6,C,H,1.0,SP2,OTHER,0,0,1.0823034640182947,1.0817226509309121
pyrrole,c1cc[nH]c1,7,C,H,1.0,SP2,OTHER,0,0,1.0816789340876523,1.0804952998944513
pyrrole,c1cc[nH]c1,8,H,N,1.0,OTHER,SP2,0,0,1.0119251261713982,1.0079890000009921
pyrrole,c1cc[nH]c1,9,C,H,1.0,SP2,OTHER,0,0,1.0816792644051192,1.0804948959513876
piperidine,C1CCNCC1,0,C,C,1.0,SP3,SP3,1,6,1.5254663945161164,1.5368967237029951
piperidine,C1CCNCC1,1,C,C,1.0,SP3,SP3,1,6,1.527414782673652,1.5328555552592034
piperidine,C1CCNCC1,2,C,N,1.0,SP3,SP3,1,6,1.4634033029858857,1.4650457078664816
piperidine,C1CCNCC1,3,C,N,1.0,SP3,SP3,1,6,1.4634022424056892,1.4650446625717592
piperidine,C1CCNCC1,4,C,C,1.0,SP3,SP3,1,6,1.527415804481216,1.5328559291303276
piperidine,C1CCNCC1,5,C,C,1.0,SP3,SP3,1,6,1.525467310201369,1.5368963896756347
piperidine,C1CCNCC1,6,C,H,1.0,SP3,OTHER,0,0,1.0969529989903852,1.1003414673354812
piperidine,C1CCNCC1,7,C,H,1.0,SP3,OTHER,0,0,1.0954819871075012,1.09725252114953
piperidine,C1CCNCC1,8,C,H,1.0,SP3,OTHER,0,0,1.097435986986485,1.0977300798106062
piperidine,C1CCNCC1,9,C,H,1.0,SP3,OTHER,0,0,1.0957925530258912,1.0973919079513024
piperidine,C1CCNCC1,10,C,H,1.0,SP3,OTHER,0,0,1.0969080229326433,1.1097551434812096
piperidine,C1CCNCC1,11,C,H,1.0,SP3,OTHER,0,0,1.095451841247711,1.0964318428292752
piperidine,C1CCNCC1,12,H,N,1.0,OTHER,SP3,0,0,1.0196079932292605,1.0178298567864867
piperidine,C1CCNCC1,13,C,H,1.0,SP3,OTHER,0,0,1.0969064985467083,1.1097551503502923
piperidine,C1CCNCC1,14,C,H,1.0,SP3,OTHER,0,0,1.0954514492053034,1.0964327249352783
piperidine,C1CCNCC1,15,C,H,1.0,SP3,OTHER,0,0,1.0974362715820907,1.0977300478109362
piperidine,C1CCNCC1,16,C,H,1.0,SP3,OTHER,0,0,1.0957928808337825,1.0973914137348624
morpholine,C1COCCN1,0,C,C,1.0,SP3,SP3,1,6,1.5364219182766823,1.5316375905474506
morpholine,C1COCCN1,1,C,O,1.0,SP3,SP3,1,6,1.4333947635909656,1.4236145598644319
morpholine,C1COCCN1,2,C,O,1.0,SP3,SP3,1,6,1.4333929225111308,1.4236145598644319
morpholine,C1COCCN1,3,C,C,1.0,SP3,SP3,1,6,1.5364231890628313,1.5316375905474506
morpholine,C1COCCN1,4,C,N,1.0,SP3,SP3,1,6,1.475561798084038,1.4691378561680315
morpholine,C1COCCN1,5,C,N,1.0,SP3,SP3,1,6,1.4755618860857718,1.4691378561680315
morpholine,C1COCCN1,6,C,H,1.0,SP3,OTHER,0,0,1.096691070348437,1.0979560180485375
morpholine,C1COCCN1,7,C,H,1.0,SP3,OTHER,0,0,1.0949728920270128,1.096865104007781
morpholine,C1COCCN1,8,C,H,1.0,SP3,OTHER,0,0,1.0966032190272834,1.1059384472767912
morpholine,C1COCCN1,9,C,H,1.0,SP3,OTHER,0,0,1.0945696770758817,1.09547078456753
morpholine,C1COCCN1,10,C,H,1.0,SP3,OTHER,0,0,1.0966028517973132,1.1059384472767912
morpholine,C1COCCN1,11,C,H,1.0,SP3,OTHER,0,0,1.094570072675569,1.09547078456753
morpholine,C1COCCN1,12,C,H,1.0,SP3,OTHER,0,0,1.094974988621658,1.096865104007781
morpholine,C1COCCN1,13,C,H,1.0,SP3,OTHER,0,0,1.0966945240972985,1.0979560704008153
morpholine,C1COCCN1,14,H,N,1.0,OTHER,SP3,0,0,1.0202139619344561,1.0210988268512504
THF,C1CCOC1,0,C,C,1.0,SP3,SP3,1,5,1.507188794694613,1.5359528979773438
THF,C1CCOC1,1,C,C,1.0,SP3,SP3,1,5,1.513244568184535,1.5338796514642208
THF,C1CCOC1,2,C,O,1.0,SP3,SP3,1,5,1.4346884377958165,1.4315480604454047
THF,C1CCOC1,3,C,O,1.0,SP3,SP3,1,5,1.4346883943247049,1.4315486338528636
THF,C1CCOC1,4,C,C,1.0,SP3,SP3,1,5,1.513244311537962,1.533879002287338
THF,C1CCOC1,5,C,H,1.0,SP3,OTHER,0,0,1.096451575388079,1.096678766737097
THF,C1CCOC1,6,C,H,1.0,SP3,OTHER,0,0,1.0930219023830217,1.0944762285856189
