mol_name,label,center,mmff_angle,dft_angle,delta
naphthalene,C-C_C,C,119.26693886349977,118.84464506554221,-0.4222937979575647
naphthalene,C-C_C,C,119.26705067844033,118.84464506554221,-0.4224056128981175
naphthalene,C-C_C,C,120.7422759486547,120.87898551089661,0.13670956224191855
naphthalene,C-H_C,C,120.33255994619697,118.69609760471984,-1.6364623414771273
naphthalene,C-H_C,C,118.92516407797766,120.4249168843233,1.49975280634564
naphthalene,C-C_C,C,119.99066544148194,120.27636942351106,0.2857039820291192
naphthalene,C-H_C,C,119.95276732722984,120.10304065714622,0.15027332991638787
naphthalene,C-H_C,C,120.05656722970451,119.62058991928224,-0.43597731042227394
naphthalene,C-C_C,C,119.99079596494269,120.27636942351106,0.2855734585683649
naphthalene,C-H_C,C,120.05658531873705,119.62058991928224,-0.4359953994548107
naphthalene,C-H_C,C,119.95261870813448,120.10304065714622,0.15042194901174355
naphthalene,C-C_C,C,120.74223086858353,120.87898551089661,0.136754642313079
naphthalene,C-H_C,C,118.92507619959065,120.4249168843233,1.4998406847326464
naphthalene,C-H_C,C,120.33269292784203,118.69609760471984,-1.6365953231221937
naphthalene,C-C_C,C,121.46598016174411,122.31070986886668,0.8447297071225677
naphthalene,C-C_C,C,119.26698109365495,118.84464506554221,-0.4223360281127384
naphthalene,C-C_C,C,119.26703874099609,118.84464506554221,-0.4223936754538755
naphthalene,C-C_C,C,120.7422452959233,120.87898551089661,0.13674021497331523
naphthalene,C-H_C,C,120.33263948966436,118.69609760471984,-1.6365418849445206
naphthalene,C-H_C,C,118.92511520199481,120.4249168843233,1.4998016823284814
neopentane,C-H_C,C,111.18256313503585,111.1488944707706,-0.033668664265249504
neopentane,C-H_C,C,111.1825374512083,111.15575602862891,-0.02678142257938987
neopentane,C-H_C,C,111.18254212764653,111.16404428417145,-0.01849784347507466
neopentane,H-H_C,C,107.707042864035,107.73547127108824,0.02842840705324079
neopentane,H-H_C,C,107.70691331966013,107.73539705283216,0.028483733172024017
neopentane,H-H_C,C,107.70705204315898,107.7338713768209,0.02681933366191913
neopentane,C-C_C,C,109.47124340865606,109.46485870384555,-0.006384704810514563
neopentane,C-C_C,C,109.47122501302965,109.47111349265751,-0.00011152037214401389
neopentane,C-C_C,C,109.47115664428674,109.47053004265854,-0.0006266016281983866
neopentane,C-C_C,C,109.47125828959744,109.4637494891145,-0.007508800482938227
neopentane,C-C_C,C,109.47120333921713,109.47723654642296,0.006033207205831559
neopentane,C-C_C,C,109.4712371120591,109.47983427257644,0.00859716051733983
neopentane,C-H_C,C,111.18261344260964,111.15153215418393,-0.03108128842571034
neopentane,C-H_C,C,111.18249654915668,111.16795849958922,-0.014538049567462963
neopentane,C-H_C,C,111.18256643055784,111.1480149511186,-0.034551479439244304
neopentane,H-H_C,C,107.70689609568412,107.73340487139176,0.026508775707640098
neopentane,H-H_C,C,107.70709342569783,107.73489907916813,0.02780565347029551
neopentane,H-H_C,C,107.70698293908197,107.73769584949181,0.030712910409846472
neopentane,C-H_C,C,111.18263858103298,111.16471080647698,-0.01792777455600003
neopentane,C-H_C,C,111.18256615479811,111.15111609161725,-0.031450063180855636
neopentane,C-H_C,C,111.18254537575174,111.1540647791535,-0.02848059659824287
neopentane,H-H_C,C,107.70693624310573,107.73326522811527,0.02632898500954184
neopentane,H-H_C,C,107.70696935675011,107.72873206729244,0.021762710542333252
neopentane,H-H_C,C,107.70698867303314,107.74147434730061,0.03448567426747218
neopentane,C-H_C,C,111.18261883808087,111.16165454465778,-0.020964293423091362
neopentane,C-H_C,C,111.18254564444314,111.15787855555267,-0.024667088890467426
neopentane,C-H_C,C,111.182545019656,111.14300680741293,-0.03953821224307319
neopentane,H-H_C,C,107.70712354420671,107.73144185469278,0.024318310486066252
neopentane,H-H_C,C,107.70698015266669,107.73225052606887,0.025270373402179303
neopentane,H-H_C,C,107.70683366419803,107.74757278751328,0.040739123315248094
pentane,C-H_C,C,110.26110637037665,111.47600217051028,1.2148958001336325
pentane,C-H_C,C,111.00144237664888,111.15968138986976,0.15823901322087863
pentane,C-H_C,C,111.00139700025338,111.15970043634206,0.15830343608868702
pentane,H-H_C,C,108.07996405040187,107.68239565889908,-0.3975683915027872
pentane,H-H_C,C,108.07990584618562,107.68241723894965,-0.3974886072359709
pentane,H-H_C,C,108.31079689911067,107.49210871943347,-0.8186881796771956
pentane,C-C_C,C,111.49769633987226,113.24188646902968,1.744190129157417
pentane,C-H_C,C,109.14446258973466,109.45782335717914,0.31336076744447894
pentane,C-H_C,C,109.14445881358058,109.45782335717914,0.3133645435985528
pentane,C-H_C,C,109.86523746378833,109.20110023571337,-0.6641372280749636
pentane,C-H_C,C,109.86522310233958,109.20110023571337,-0.6641228666262151
pentane,H-H_C,C,107.22138757195427,106.02663824338046,-1.1947493285738062
pentane,C-C_C,C,111.32790066944835,113.6338205940594,2.3059199246110467
pentane,C-H_C,C,109.57841130162552,109.24170697015273,-0.336704331472788
pentane,C-H_C,C,109.57835481583933,109.24170697015273,-0.3366478456865991
pentane,C-H_C,C,109.57841500276066,109.24170697015273,-0.33670803260793036
pentane,C-H_C,C,109.57842066205609,109.24170697015273,-0.33671369190335554
pentane,H-H_C,C,107.10379570691421,105.95520080641279,-1.148594900501422
pentane,C-C_C,C,111.49767013766835,113.24188646902968,1.7442163313613293
pentane,C-H_C,C,109.86522081152093,109.20110023571337,-0.6641205758075586
pentane,C-H_C,C,109.8652769224264,109.20110023571337,-0.6641766867130343
pentane,C-H_C,C,109.14449590858003,109.45782335717914,0.3133274485991109
pentane,C-H_C,C,109.14441332409348,109.45782335717914,0.31341003308565973
pentane,H-H_C,C,107.22138961736351,106.02663824338046,-1.1947513739830526
pentane,C-H_C,C,110.26102751604311,111.47600217051028,1.21497465446717
pentane,C-H_C,C,111.00141760712388,111.15970043634206,0.15828282921818015
pentane,C-H_C,C,111.00141523666476,111.15968138986976,0.15826615320500537
pentane,H-H_C,C,108.07998329966381,107.68241723894965,-0.3975660607141549
pentane,H-H_C,C,108.07995611318883,107.68239565889908,-0.39756045428974573
pentane,H-H_C,C,108.31081642204569,107.49210871943347,-0.8187077026122154
phenol,C-H_O,O,108.46490312804934,108.7873497231374,0.32244659508805285
phenol,C-O_C,C,121.37804310907657,122.60085161423861,1.2228085051620354
phenol,C-O_C,C,117.76364312315852,117.32404938499819,-0.4395937381603261
phenol,C-C_C,C,120.85831376771279,120.07509900071167,-0.7832147670011125
phenol,C-C_C,C,119.38937028077818,119.7612721442381,0.37190186345992515
phenol,C-H_C,C,121.29544415174908,119.94823479171022,-1.3472093600388604
phenol,C-H_C,C,119.31518556725972,120.29049306399125,0.9753074967315314
phenol,C-C_C,C,120.10453642871242,120.53273444281281,0.4281980141003885
phenol,C-H_C,C,120.01779010134067,119.29232241537183,-0.7254676859688374
phenol,C-H_C,C,119.87767346973152,120.1749431417549,0.2972696720233756
phenol,C-C_C,C,120.03981470922689,119.27205097748485,-0.7677637317420363
phenol,C-H_C,C,120.01912183529106,120.32764763353849,0.3085257982474303
